feature,mean_abs_shap
Feature_103,0.714339
Feature_132,0.5457224
Feature_33,0.54229283
Feature_247,0.5210335
Feature_70,0.47764018
Feature_56,0.4321693
Feature_131,0.41703835
Feature_65,0.4154468
Feature_182,0.3847942
Feature_121,0.3482653
Feature_130,0.3429486
Feature_510,0.33506057
Feature_573,0.32426575
Feature_143,0.29357693
Feature_91,0.29251733
Feature_125,0.2854173
Feature_2,0.2851549
Feature_412,0.2741353
Feature_142,0.25299156
Feature_269,0.22699457
Feature_137,0.20817704
Feature_267,0.20158175
Feature_138,0.20121467
Feature_122,0.19400275
Feature_172,0.19204937
Feature_41,0.19030935
Feature_34,0.18325225
Feature_126,0.16042995
Feature_37,0.15174228
Feature_78,0.14829259
Feature_119,0.14748259
Feature_413,0.14321716
Feature_6,0.1366046
Feature_40,0.12032838
Feature_128,0.1076369
Feature_571,0.09591614
Feature_195,0.09255934
Feature_589,0.073446564
Feature_570,0.061811123
Feature_84,0.03537593
